PlayerA,PlayerB,RankA,RankB,RankDiff,Court,Surface,WinnerBinary
Brooksby J.,Fritz T.,149,5,144.0,Outdoor,Grass,0
Griekspoor T.,Moutet C.,34,83,-49.0,Outdoor,Grass,1
Michelsen A.,Moutet C.,33,83,-50.0,Outdoor,Grass,0
Davidovich Fokina A.,Fritz T.,28,5,23.0,Outdoor,Grass,0
Auger-Aliassime F.,Griekspoor T.,27,34,-7.0,Outdoor,Grass,0
Brooksby J.,Humbert U.,149,20,129.0,Outdoor,Grass,1
Bautista Agut R.,Michelsen A.,43,33,10.0,Outdoor,Grass,0
Fritz T.,Giron M.,5,46,-41.0,Outdoor,Grass,1
Davidovich Fokina A.,Mensik J.,28,17,11.0,Outdoor,Grass,1
Moutet C.,Tien L.,83,67,16.0,Outdoor,Grass,1
Diallo G.,Griekspoor T.,41,34,7.0,Outdoor,Grass,0
Brooksby J.,Evans D.,149,170,-21.0,Outdoor,Grass,1
Harris B.,Humbert U.,142,20,122.0,Outdoor,Grass,0
Auger-Aliassime F.,Medjedovic H.,27,73,-46.0,Outdoor,Grass,1
Fonseca J.,Fritz T.,57,5,52.0,Outdoor,Grass,0
Mensik J.,Opelka R.,17,72,-55.0,Outdoor,Grass,1
Borges N.,Brooksby J.,37,149,-112.0,Outdoor,Grass,0
Bellucci M.,Harris B.,74,142,-68.0,Outdoor,Grass,0
Fearnley J.,Giron M.,51,46,5.0,Outdoor,Grass,0
Bautista Agut R.,Tomic B.,43,248,-205.0,Outdoor,Grass,1
Holt B.,Michelsen A.,101,33,68.0,Outdoor,Grass,0
Humbert U.,Sonego L.,20,48,-28.0,Outdoor,Grass,1
Davidovich Fokina A.,Duckworth J.,28,106,-78.0,Outdoor,Grass,1
Shelton B.,Tien L.,10,67,-57.0,Outdoor,Grass,0
Evans D.,Paul T.,170,13,157.0,Outdoor,Grass,1
Altmaier D.,Moutet C.,59,83,-24.0,Outdoor,Grass,0
Brooksby J.,Comesana F.,149,65,84.0,Outdoor,Grass,1
Harris B.,Norrie C.,142,61,81.0,Outdoor,Grass,1
Cobolli F.,Fearnley J.,24,51,-27.0,Outdoor,Grass,0
Auger-Aliassime F.,Rinderknech A.,27,70,-43.0,Outdoor,Grass,1
Griekspoor T.,Quinn E.,34,95,-61.0,Outdoor,Grass,1
Borges N.,Pinnington Jones J.,37,282,-245.0,Outdoor,Grass,1
Bonzi B.,Holt B.,64,101,-37.0,Outdoor,Grass,0
Duckworth J.,Vukic A.,106,80,26.0,Outdoor,Grass,1
Bautista Agut R.,Etcheverry T.,43,53,-10.0,Outdoor,Grass,1
Diallo G.,Djere L.,41,62,-21.0,Outdoor,Grass,1
Medjedovic H.,Safiullin R.,73,75,-2.0,Outdoor,Grass,1
Loffhagen G.,Opelka R.,302,72,230.0,Outdoor,Grass,0
Darderi L.,Giron M.,56,46,10.0,Outdoor,Grass,0
Hijikata R.,Tomic B.,88,248,-160.0,Outdoor,Grass,0
Martinez P.,Moutet C.,52,83,-31.0,Outdoor,Grass,0
Basavareddy N.,Medjedovic H.,99,73,26.0,Outdoor,Grass,0
Marozsan F.,Sonego L.,58,48,10.0,Outdoor,Grass,0
Quinn E.,Ugo Carabelli C.,95,55,40.0,Outdoor,Grass,1
Bellucci M.,Halys Q.,74,47,27.0,Outdoor,Grass,1
Davidovich Fokina A.,Tseng C.H.,28,96,-68.0,Outdoor,Grass,1
Diallo G.,Munar J.,41,54,-13.0,Outdoor,Grass,1
Evans D.,Kecmanovic M.,170,49,121.0,Outdoor,Grass,1
Engel J.,Tien L.,219,67,152.0,Outdoor,Grass,0
Bergs Z.,Fonseca J.,50,57,-7.0,Outdoor,Grass,0
Dzumhur D.,Rinderknech A.,68,70,-2.0,Outdoor,Grass,0
Muller A.,Safiullin R.,40,75,-35.0,Outdoor,Grass,0
Bu Y.,Djere L.,69,62,7.0,Outdoor,Grass,0
Alcaraz C.,Lehecka J.,2,30,-28.0,Outdoor,Grass,1
Bublik A.,Medvedev D.,45,11,34.0,Outdoor,Grass,1
Altmaier D.,Fognini F.,59,130,-71.0,Outdoor,Grass,1
Draper J.,Lehecka J.,6,30,-24.0,Outdoor,Grass,0
Alcaraz C.,Bautista Agut R.,2,51,-49.0,Outdoor,Grass,1
Medvedev D.,Zverev A.,11,3,8.0,Outdoor,Grass,1
Bublik A.,Khachanov K.,45,22,23.0,Outdoor,Grass,1
Alcaraz C.,Rinderknech A.,2,80,-78.0,Outdoor,Grass,1
Fearnley J.,Lehecka J.,60,30,30.0,Outdoor,Grass,0
Bautista Agut R.,Rune H.,51,9,42.0,Outdoor,Grass,1
Medvedev D.,Michelsen A.,11,33,-22.0,Outdoor,Grass,1
Cobolli F.,Zverev A.,24,3,21.0,Outdoor,Grass,0
Draper J.,Nakashima B.,6,32,-26.0,Outdoor,Grass,1
Bublik A.,Machac T.,45,23,22.0,Outdoor,Grass,1
Etcheverry T.,Khachanov K.,63,22,41.0,Outdoor,Grass,0
Cobolli F.,Shapovalov D.,24,31,-7.0,Outdoor,Grass,1
Opelka R.,Rinderknech A.,75,80,-5.0,Outdoor,Grass,0
Etcheverry T.,Rublev A.,63,14,49.0,Outdoor,Grass,1
Machac T.,Marozsan F.,23,58,-35.0,Outdoor,Grass,1
Diallo G.,Lehecka J.,44,30,14.0,Outdoor,Grass,0
Bublik A.,Sinner J.,45,1,44.0,Outdoor,Grass,1
Alcaraz C.,Munar J.,2,59,-57.0,Outdoor,Grass,1
Sonego L.,Zverev A.,46,3,43.0,Outdoor,Grass,0
Fearnley J.,Moutet C.,60,89,-29.0,Outdoor,Grass,1
Auger-Aliassime F.,Khachanov K.,27,22,5.0,Outdoor,Grass,0
Giron M.,Zverev A.,43,3,40.0,Outdoor,Grass,0
Bergs Z.,Khachanov K.,49,22,27.0,Outdoor,Grass,0
McDonald M.,Rune H.,98,9,89.0,Outdoor,Grass,0
Bautista Agut R.,Mensik J.,51,17,34.0,Outdoor,Grass,1
Draper J.,Popyrin A.,6,21,-15.0,Outdoor,Grass,1
Evans D.,Nakashima B.,199,32,167.0,Outdoor,Grass,0
Halys Q.,Medvedev D.,48,11,37.0,Outdoor,Grass,0
Michelsen A.,Tsitsipas S.,33,25,8.0,Outdoor,Grass,1
Etcheverry T.,Martinez P.,63,54,9.0,Outdoor,Grass,1
Munar J.,Thompson J.,59,37,22.0,Outdoor,Grass,1
Brooksby J.,Draper J.,149,6,143.0,Outdoor,Grass,0
De Minaur A.,Lehecka J.,12,30,-18.0,Outdoor,Grass,0
Sonego L.,Struff J.L.,46,103,-57.0,Outdoor,Grass,1
Ofner S.,Rublev A.,122,14,108.0,Outdoor,Grass,0
Opelka R.,Ugo Carabelli C.,75,53,22.0,Outdoor,Grass,1
Hanfmann Y.,Sinner J.,138,1,137.0,Outdoor,Grass,0
Auger-Aliassime F.,Djere L.,27,65,-38.0,Outdoor,Grass,1
Popyrin A.,Vukic A.,21,83,-62.0,Outdoor,Grass,1
Fritz T.,Moutet C.,4,89,-85.0,Outdoor,Grass,0
Mpetshi G.,Nakashima B.,36,32,4.0,Outdoor,Grass,0
Alcaraz C.,Walton A.,2,86,-84.0,Outdoor,Grass,1
Diallo G.,Harris B.,44,113,-69.0,Outdoor,Grass,1
Humbert U.,Shapovalov D.,20,31,-11.0,Outdoor,Grass,0
Rinderknech A.,Shelton B.,80,10,70.0,Outdoor,Grass,1
De Jong J.,Machac T.,93,23,70.0,Outdoor,Grass,0
Cobolli F.,Fonseca J.,24,57,-33.0,Outdoor,Grass,1
Cerundolo F.,Michelsen A.,18,33,-15.0,Outdoor,Grass,0
Altmaier D.,Medvedev D.,52,11,41.0,Outdoor,Grass,0
Bolt A.,Fearnley J.,194,60,134.0,Outdoor,Grass,0
O Connell C.,Rune H.,79,9,70.0,Outdoor,Grass,0
Bublik A.,Muller A.,45,40,5.0,Outdoor,Grass,1
Bonzi B.,Halys Q.,62,48,14.0,Outdoor,Grass,0
McDonald M.,Monfils G.,98,42,56.0,Outdoor,Grass,1
Evans D.,Tiafoe F.,199,13,186.0,Outdoor,Grass,1
Kecmanovic M.,Marozsan F.,47,58,-11.0,Outdoor,Grass,0
Darderi L.,Tsitsipas S.,56,25,31.0,Outdoor,Grass,0
Mensik J.,Norrie C.,17,61,-44.0,Outdoor,Grass,1
Bautista Agut R.,Borges N.,51,38,13.0,Outdoor,Grass,1
Bergs Z.,Diallo G.,63,55,8.0,Outdoor,Grass,0
Fritz T.,Zverev A.,7,3,4.0,Outdoor,Grass,1
Shelton B.,Zverev A.,12,3,9.0,Outdoor,Grass,0
Auger-Aliassime F.,Fritz T.,29,7,22.0,Outdoor,Grass,0
Bergs Z.,Opelka R.,63,87,-24.0,Outdoor,Grass,1
Diallo G.,Humbert U.,55,20,35.0,Outdoor,Grass,1
Nakashima B.,Zverev A.,31,3,28.0,Outdoor,Grass,0
Medvedev D.,Opelka R.,11,87,-76.0,Outdoor,Grass,0
Bergs Z.,Lajal M.,63,195,-132.0,Outdoor,Grass,1
Lehecka J.,Shelton B.,33,12,21.0,Outdoor,Grass,0
Fritz T.,Fucsovics M.,7,112,-105.0,Outdoor,Grass,1
Borges N.,Humbert U.,38,20,18.0,Outdoor,Grass,0
Diallo G.,Khachanov K.,55,24,31.0,Outdoor,Grass,1
Auger-Aliassime F.,Engel J.,29,281,-252.0,Outdoor,Grass,1
Mannarino A.,Medvedev D.,127,11,116.0,Outdoor,Grass,0
Hurkacz H.,Lajal M.,32,195,-163.0,Outdoor,Grass,0
Engel J.,Michelsen A.,281,35,246.0,Outdoor,Grass,1
Auger-Aliassime F.,Mpetshi G.,29,36,-7.0,Outdoor,Grass,1
Jarry N.,Opelka R.,150,87,63.0,Outdoor,Grass,0
Borges N.,Virtanen O.,38,101,-63.0,Outdoor,Grass,1
Nakashima B.,Tien L.,31,68,-37.0,Outdoor,Grass,1
Evans D.,Humbert U.,217,20,197.0,Outdoor,Grass,0
Bergs Z.,Popyrin A.,63,21,42.0,Outdoor,Grass,1
Moutet C.,Zverev A.,91,3,88.0,Outdoor,Grass,0
Evans D.,Hijikata R.,217,75,142.0,Outdoor,Grass,1
Djere L.,Lajal M.,64,195,-131.0,Outdoor,Grass,0
Mannarino A.,O Connell C.,127,80,47.0,Outdoor,Grass,1
Bautista Agut R.,Hurkacz H.,50,32,18.0,Outdoor,Grass,0
Fucsovics M.,Rinderknech A.,112,81,31.0,Outdoor,Grass,1
Diallo G.,Thompson J.,55,37,18.0,Outdoor,Grass,1
Fritz T.,Halys Q.,7,47,-40.0,Outdoor,Grass,1
Khachanov K.,McDonald M.,24,99,-75.0,Outdoor,Grass,1
Lehecka J.,Struff J.L.,33,103,-70.0,Outdoor,Grass,1
Herbert P.,Shelton B.,132,12,120.0,Outdoor,Grass,0
Halys Q.,Sonego L.,47,45,2.0,Outdoor,Grass,1
Nishioka Y.,Tien L.,78,68,10.0,Outdoor,Grass,0
Fucsovics M.,Hanfmann Y.,112,135,-23.0,Outdoor,Grass,1
Bellucci M.,McDonald M.,72,99,-27.0,Outdoor,Grass,0
Fognini F.,Moutet C.,117,91,26.0,Outdoor,Grass,0
Duckworth J.,Engel J.,94,281,-187.0,Outdoor,Grass,0
De Jong J.,Opelka R.,92,87,5.0,Outdoor,Grass,0
Michelsen A.,Monfils G.,35,42,-7.0,Outdoor,Grass,1
Rinderknech A.,Shapovalov D.,81,30,51.0,Outdoor,Grass,1
Bergs Z.,Blockx A.,63,145,-82.0,Outdoor,Grass,1
Etcheverry T.,Virtanen O.,62,101,-39.0,Outdoor,Grass,0
Dzumhur D.,Herbert P.,67,132,-65.0,Outdoor,Grass,0
Mpetshi G.,Safiullin R.,36,74,-38.0,Outdoor,Grass,1
Arnaldi M.,Struff J.L.,41,103,-62.0,Outdoor,Grass,0
Bonzi B.,Lehecka J.,61,33,28.0,Outdoor,Grass,0
Basavareddy N.,Borges N.,105,38,67.0,Outdoor,Grass,0
Darderi L.,Jarry N.,48,150,-102.0,Outdoor,Grass,0
Kovacevic A.,Thompson J.,76,37,39.0,Outdoor,Grass,0
Fearnley J.,Nakashima B.,49,31,18.0,Outdoor,Grass,0
Diallo G.,Vukic A.,55,79,-24.0,Outdoor,Grass,1
Alcaraz C.,Sinner J.,2,1,1.0,Outdoor,Clay,1
Alcaraz C.,Musetti L.,2,7,-5.0,Outdoor,Clay,1
Djokovic N.,Sinner J.,6,1,5.0,Outdoor,Clay,0
Bublik A.,Sinner J.,62,1,61.0,Outdoor,Clay,0
Djokovic N.,Zverev A.,6,3,3.0,Outdoor,Clay,1
Musetti L.,Tiafoe F.,7,16,-9.0,Outdoor,Clay,1
Alcaraz C.,Paul T.,2,12,-10.0,Outdoor,Clay,1
Djokovic N.,Norrie C.,6,81,-75.0,Outdoor,Clay,1
Bublik A.,Draper J.,62,5,57.0,Outdoor,Clay,1
Rublev A.,Sinner J.,15,1,14.0,Outdoor,Clay,0
Griekspoor T.,Zverev A.,35,3,32.0,Outdoor,Clay,0
Musetti L.,Rune H.,7,10,-3.0,Outdoor,Clay,1
Alcaraz C.,Shelton B.,2,13,-11.0,Outdoor,Clay,1
Paul T.,Popyrin A.,12,25,-13.0,Outdoor,Clay,1
Altmaier D.,Tiafoe F.,66,16,50.0,Outdoor,Clay,0
Draper J.,Fonseca J.,5,65,-60.0,Outdoor,Clay,1
Griekspoor T.,Quinn E.,35,106,-71.0,Outdoor,Clay,1
Fils A.,Rublev A.,14,15,-1.0,Outdoor,Clay,0
Lehecka J.,Sinner J.,34,1,33.0,Outdoor,Clay,0
Djokovic N.,Misolic F.,6,153,-147.0,Outdoor,Clay,1
Bublik A.,Rocha H.,62,200,-138.0,Outdoor,Clay,1
Cobolli F.,Zverev A.,26,3,23.0,Outdoor,Clay,0
