PlayerA,PlayerB,RankA,RankB,WinnerBinary,MaxOddsPlayerA,MaxOddsPlayerB,AvgOddsPlayerA,AvgOddsPlayerB,H2H_A_wins,H2H_B_wins,H2H_Diff,WinsA,LossesA,WinsB,LossesB,WinRateA,WinRateB
Alcaraz C.,Djokovic N.,3,2,1,1.82,2.2,1.76,2.09,3,4,-1,29,3,117,18,0.90625,0.8666666666666667
Djokovic N.,Musetti L.,2,25,1,1.15,6.75,1.12,6.3,7,1,6,117,18,18,10,0.8666666666666667,0.6428571428571429
Alcaraz C.,Medvedev D.,3,5,1,1.31,3.9,1.29,3.62,6,2,4,29,3,51,24,0.90625,0.68
Fritz T.,Musetti L.,12,25,0,1.25,4.7,1.22,4.36,1,2,-1,41,24,18,10,0.6307692307692307,0.6428571428571429
De Minaur A.,Djokovic N.,9,2,0,4.0,1.34,3.76,1.28,0,3,-3,33,19,117,18,0.6346153846153846,0.8666666666666667
Medvedev D.,Sinner J.,5,1,1,4.78,1.25,4.29,1.22,7,8,-1,51,24,22,10,0.68,0.6875
Alcaraz C.,Paul T.,3,13,1,1.31,4.01,1.27,3.79,4,2,2,29,3,24,13,0.90625,0.6486486486486487
Mpetshi G.,Musetti L.,58,25,0,2.03,1.95,1.92,1.88,0,2,-2,5,6,18,10,0.45454545454545453,0.6428571428571429
De Minaur A.,Fils A.,9,34,1,1.26,5.63,1.19,4.71,1,1,0,33,19,6,5,0.6346153846153846,0.5454545454545454
Djokovic N.,Rune H.,2,15,1,1.36,3.66,1.32,3.43,4,2,2,117,18,12,8,0.8666666666666667,0.6
Fritz T.,Zverev A.,12,4,1,2.55,1.68,2.33,1.6,6,4,2,41,24,45,22,0.6307692307692307,0.6716417910447762
Alcaraz C.,Humbert U.,3,16,1,1.13,7.64,1.11,6.64,1,1,0,29,3,29,23,0.90625,0.5576923076923077
Dimitrov G.,Medvedev D.,10,5,0,2.31,1.74,2.2,1.68,3,8,-5,46,32,51,24,0.5897435897435898,0.68
Shelton B.,Sinner J.,14,1,0,14.98,1.07,10.64,1.05,1,5,-4,8,10,22,10,0.4444444444444444,0.6875
Bautista Agut R.,Paul T.,112,13,0,6.27,1.18,5.71,1.14,3,4,-1,44,21,24,13,0.676923076923077,0.6486486486486487
Fils A.,Safiullin R.,34,44,1,1.85,2.21,1.77,2.06,2,0,2,6,5,8,8,0.5454545454545454,0.5
Shapovalov D.,Shelton B.,121,14,0,2.1,1.95,1.92,1.88,0,3,-3,21,23,8,10,0.4772727272727273,0.4444444444444444
Bautista Agut R.,Fognini F.,112,94,1,1.49,3.05,1.43,2.83,2,3,-1,44,21,25,24,0.676923076923077,0.5102040816326531
Halys Q.,Rune H.,220,15,0,3.75,1.33,3.56,1.3,0,2,-2,8,8,12,8,0.5,0.6
Mpetshi G.,Ruusuvuori E.,58,87,1,1.83,2.15,1.76,2.07,2,0,2,5,6,11,12,0.45454545454545453,0.4782608695652174
