PlayerA,PlayerB,RankA,RankB,RankDiff,WinnerBinary
Alcaraz C.,Sinner J.,2,1,1.0,0
Alcaraz C.,Fritz T.,2,5,-3.0,1
Djokovic N.,Sinner J.,6,1,5.0,0
Shelton B.,Sinner J.,10,1,9.0,0
Cobolli F.,Djokovic N.,24,6,18.0,0
Fritz T.,Khachanov K.,5,20,-15.0,1
Alcaraz C.,Norrie C.,2,61,-59.0,1
De Minaur A.,Djokovic N.,11,6,5.0,0
Dimitrov G.,Sinner J.,21,1,20.0,0
Shelton B.,Sonego L.,10,47,-37.0,1
Cilic M.,Cobolli F.,83,24,59.0,0
Alcaraz C.,Rublev A.,2,14,-12.0,1
Khachanov K.,Majchrzak K.,20,109,-89.0,1
Jarry N.,Norrie C.,143,61,82.0,0
Fritz T.,Thompson J.,5,44,-39.0,1
Cilic M.,Munar J.,83,55,28.0,1
Martinez P.,Sinner J.,52,1,51.0,0
Djokovic N.,Kecmanovic M.,6,49,-43.0,1
Dimitrov G.,Ofner S.,21,165,-144.0,1
Fucsovics M.,Shelton B.,105,10,95.0,0
De Minaur A.,Holmgren A.,11,192,-181.0,1
Nakashima B.,Sonego L.,34,47,-13.0,0
Cobolli F.,Mensik J.,24,17,7.0,1
Darderi L.,Thompson J.,59,44,15.0,0
Fucsovics M.,Monfils G.,105,48,57.0,1
Davidovich Fokina A.,Fritz T.,27,5,22.0,0
Majchrzak K.,Rinderknech A.,109,72,37.0,1
Alcaraz C.,Struff J.L.,2,125,-123.0,1
Borges N.,Khachanov K.,37,20,17.0,0
Fonseca J.,Jarry N.,54,143,-89.0,0
Bellucci M.,Norrie C.,73,61,12.0,0
Mannarino A.,Rublev A.,123,14,109.0,0
Hijikata R.,Shelton B.,87,10,77.0,0
Martinez P.,Navone M.,52,91,-39.0,1
Holmgren A.,Machac T.,192,23,169.0,1
Garin C.,Rinderknech A.,110,72,38.0,0
Nakashima B.,Opelka R.,34,70,-36.0,1
Cazaux A.,De Minaur A.,115,11,104.0,0
De Jong J.,Kecmanovic M.,106,49,57.0,0
Auger-Aliassime F.,Struff J.L.,28,125,-97.0,0
Cilic M.,Draper J.,83,4,79.0,1
Ofner S.,Paul T.,165,13,152.0,1
Davidovich Fokina A.,Van De Zandschulp B.,27,92,-65.0,1
Dimitrov G.,Moutet C.,21,69,-48.0,1
Basilashvili N.,Sonego L.,126,47,79.0,0
Giron M.,Mensik J.,45,17,28.0,0
Djokovic N.,Evans D.,6,154,-148.0,1
Sinner J.,Vukic A.,1,93,-92.0,1
Darderi L.,Fery A.,59,461,-402.0,1
Marozsan F.,Munar J.,58,55,3.0,0
Cobolli F.,Pinnington Jones J.,24,281,-257.0,1
Brooksby J.,Fonseca J.,101,54,47.0,0
Bellucci M.,Lehecka J.,73,25,48.0,1
Diallo G.,Fritz T.,40,5,35.0,0
Borges N.,Harris B.,37,151,-114.0,1
Bonzi B.,Thompson J.,64,44,20.0,0
Khachanov K.,Mochizuki S.,20,144,-124.0,1
Jarry N.,Tien L.,143,62,81.0,1
Harris L.,Rublev A.,320,14,306.0,0
Bu Y.,Nakashima B.,71,34,37.0,0
Mannarino A.,Royer V.,123,113,10.0,1
Norrie C.,Tiafoe F.,61,12,49.0,1
Majchrzak K.,Quinn E.,109,89,20.0,1
Alcaraz C.,Tarvet O.,2,733,-731.0,1
Basilashvili N.,Musetti L.,126,7,119.0,1
Tseng C.H.,Vukic A.,96,93,3.0,0
Baez S.,Draper J.,38,4,34.0,0
Medjedovic H.,Ofner S.,68,165,-97.0,0
Dzumhur D.,Machac T.,67,23,44.0,0
Cilic M.,Collignon R.,83,85,-2.0,1
Dimitrov G.,Nishioka Y.,21,82,-61.0,1
Goffin D.,Hijikata R.,63,87,-24.0,0
Comesana F.,Moutet C.,65,69,-4.0,0
Marozsan F.,McCabe J.,58,181,-123.0,1
Faria J.,Sonego L.,116,47,69.0,0
Monday J.,Paul T.,224,13,211.0,0
Nardi L.,Sinner J.,95,1,94.0,0
Halys Q.,Holmgren A.,46,192,-146.0,0
Etcheverry T.,Pinnington Jones J.,53,281,-228.0,0
Carballes Baena R.,De Minaur A.,74,11,63.0,0
Bolt A.,Shelton B.,179,10,169.0,0
Clarke J.,Evans D.,196,154,42.0,0
Arnaldi M.,Van De Zandschulp B.,43,92,-49.0,0
Opelka R.,Shevchenko A.,70,98,-28.0,1
Cobolli F.,Zhukayev B.,24,247,-223.0,1
Giron M.,Ugo Carabelli C.,45,56,-11.0,1
Loffhagen G.,Martinez P.,293,52,241.0,0
Mochizuki S.,Zeppieri G.,144,351,-207.0,1
Kecmanovic M.,Michelsen A.,49,32,17.0,1
De Jong J.,Eubanks C.,106,130,-24.0,1
Rinderknech A.,Zverev A.,72,3,69.0,1
Humbert U.,Monfils G.,18,48,-30.0,0
Fritz T.,Mpetshi G.,5,36,-31.0,1
Fucsovics M.,Kovacevic A.,105,76,29.0,1
Cazaux A.,Walton A.,115,90,25.0,1
Bublik A.,Munar J.,31,55,-24.0,0
Djokovic N.,Muller A.,6,41,-35.0,1
Navone M.,Shapovalov D.,91,30,61.0,1
Gaston H.,Mensik J.,86,17,69.0,0
Garin C.,Rodesch C.,110,163,-53.0,1
Alcaraz C.,Fognini F.,2,138,-136.0,1
Berrettini M.,Majchrzak K.,35,109,-74.0,0
Auger-Aliassime F.,Duckworth J.,28,103,-75.0,1
Darderi L.,Safiullin R.,59,75,-16.0,1
Jarry N.,Rune H.,143,8,135.0,1
Kopriva V.,Thompson J.,78,44,34.0,0
Bellucci M.,Crawford O.,73,248,-175.0,1
Misolic F.,Struff J.L.,111,125,-14.0,0
Bergs Z.,Harris L.,50,320,-270.0,0
Quinn E.,Searle H.,89,421,-332.0,1
Borges N.,Cerundolo F.,37,19,18.0,1
Fery A.,Popyrin A.,461,22,439.0,1
Bonzi B.,Medvedev D.,64,9,55.0,1
Djere L.,Rublev A.,60,14,46.0,0
Dellien H.,Lehecka J.,79,25,54.0,0
Bautista Agut R.,Norrie C.,42,61,-19.0,0
Royer V.,Tsitsipas S.,113,26,87.0,1
Altmaier D.,Diallo G.,57,40,17.0,0
Harris B.,Lajovic D.,151,118,33.0,1
Riedi L.,Tarvet O.,503,733,-230.0,0
Mannarino A.,O Connell C.,123,77,46.0,1
Moller E.,Tiafoe F.,117,12,105.0,0
Khachanov K.,McDonald M.,20,88,-68.0,1
Basavareddy N.,Tien L.,100,62,38.0,0
Davidovich Fokina A.,Holt B.,27,99,-72.0,1
Fearnley J.,Fonseca J.,51,54,-3.0,0
Brooksby J.,Griekspoor T.,101,29,72.0,1
Alcaraz C.,Djokovic N.,3,2,1.0,1
Djokovic N.,Musetti L.,2,25,-23.0,1
Alcaraz C.,Medvedev D.,3,5,-2.0,1
Fritz T.,Musetti L.,12,25,-13.0,0
De Minaur A.,Djokovic N.,9,2,7.0,0
Medvedev D.,Sinner J.,5,1,4.0,1
Alcaraz C.,Paul T.,3,13,-10.0,1
Mpetshi G.,Musetti L.,58,25,33.0,0
De Minaur A.,Fils A.,9,34,-25.0,1
Djokovic N.,Rune H.,2,15,-13.0,1
Fritz T.,Zverev A.,12,4,8.0,1
Alcaraz C.,Humbert U.,3,16,-13.0,1
Dimitrov G.,Medvedev D.,10,5,5.0,0
Shelton B.,Sinner J.,14,1,13.0,0
Bautista Agut R.,Paul T.,112,13,99.0,0
Fils A.,Safiullin R.,34,44,-10.0,1
Shapovalov D.,Shelton B.,121,14,107.0,0
Bautista Agut R.,Fognini F.,112,94,18.0,1
Halys Q.,Rune H.,220,15,205.0,0
Mpetshi G.,Ruusuvuori E.,58,87,-29.0,1
Comesana F.,Musetti L.,122,25,97.0,0
Humbert U.,Nakashima B.,16,65,-49.0,1
Medvedev D.,Struff J.L.,5,41,-36.0,1
Djokovic N.,Popyrin A.,2,47,-45.0,1
De Minaur A.,Pouille L.,9,212,-203.0,1
Fritz T.,Tabilo A.,12,19,-7.0,1
Norrie C.,Zverev A.,42,4,38.0,0
Alcaraz C.,Tiafoe F.,3,29,-26.0,1
Dimitrov G.,Monfils G.,10,33,-23.0,1
Kecmanovic M.,Sinner J.,52,1,51.0,0
Bublik A.,Paul T.,23,13,10.0,0
Monfils G.,Wawrinka S.,33,95,-62.0,1
Harris L.,Shelton B.,118,14,104.0,0
Comesana F.,Walton A.,122,101,21.0,1
Halys Q.,Khachanov K.,220,22,198.0,1
Cobolli F.,Tabilo A.,48,19,29.0,0
Etcheverry T.,Popyrin A.,31,47,-16.0,0
Altmaier D.,Shapovalov D.,80,121,-41.0,0
Dimitrov G.,Shang J.,10,91,-81.0,1
Darderi L.,Musetti L.,37,25,12.0,0
Rune H.,Seyboth Wild T.,15,74,-59.0,1
Fritz T.,Rinderknech A.,12,76,-64.0,1
Machac T.,Safiullin R.,39,44,-5.0,0
Ruusuvuori E.,Tsitsipas S.,87,11,76.0,1
Fils A.,Hurkacz H.,34,7,27.0,1
Djokovic N.,Fearnley J.,2,277,-275.0,1
Kokkinakis T.,Pouille L.,93,212,-119.0,0
Giron M.,Zverev A.,46,4,42.0,0
Mpetshi G.,Nishioka Y.,58,90,-32.0,1
De Minaur A.,Munar J.,9,63,-54.0,1
Draper J.,Norrie C.,28,42,-14.0,0
Karatsev A.,Khachanov K.,99,22,77.0,0
Djere L.,Pouille L.,51,212,-161.0,0
McDonald M.,Ruusuvuori E.,96,87,9.0,0
Cerundolo F.,Safiullin R.,30,44,-14.0,0
Bautista Agut R.,Sonego L.,112,54,58.0,1
Fognini F.,Ruud C.,94,8,86.0,1
Struff J.L.,Zhang Zh.,41,38,3.0,1
Medvedev D.,Muller A.,5,102,-97.0,1
Berrettini M.,Sinner J.,59,1,58.0,0
Goffin D.,Machac T.,83,39,44.0,0
Nishikori K.,Rinderknech A.,401,76,325.0,0
Nakashima B.,Thompson J.,65,40,25.0,1
Eubanks C.,Halys Q.,62,220,-158.0,0
Alcaraz C.,Vukic A.,3,69,-66.0,1
Humbert U.,Van De Zandschulp B.,16,97,-81.0,1
Coric B.,Tiafoe F.,89,29,60.0,0
Evans D.,Tabilo A.,60,19,41.0,0
Bublik A.,Cazaux A.,23,98,-75.0,1
Paul T.,Virtanen O.,13,147,-134.0,1
Griekspoor T.,Kecmanovic M.,27,52,-25.0,0
Auger-Aliassime F.,Kokkinakis T.,17,93,-76.0,0
Coria F.,Walton A.,72,101,-29.0,0
Diaz Acosta F.,Norrie C.,67,42,25.0,0
De Minaur A.,Duckworth J.,9,81,-72.0,1
Draper J.,Ymer E.,28,205,-177.0,1
Jubb P.,Seyboth Wild T.,201,74,127.0,0
Bellucci M.,Shelton B.,148,14,134.0,0
Choinski J.,Darderi L.,174,37,137.0,0
Korda S.,Mpetshi G.,21,58,-37.0,0
Giron M.,Searle H.,46,539,-493.0,1
Albot R.,Hurkacz H.,144,7,137.0,0
Monteiro T.,Popyrin A.,86,47,39.0,0
Lestienne C.,Musetti L.,92,25,67.0,0
Cobolli F.,Hijikata R.,48,77,-29.0,1
Fils A.,Stricker D.,34,149,-115.0,1
Harris B.,Munar J.,116,63,53.0,0
Borges N.,Nishioka Y.,50,90,-40.0,0
Comesana F.,Rublev A.,122,6,116.0,1
Kwon S.W.,Rune H.,367,15,352.0,0
Carballes Baena R.,Zverev A.,64,4,60.0,0
Djokovic N.,Kopriva V.,2,123,-121.0,1
Fritz T.,O Connell C.,12,79,-67.0,1
Etcheverry T.,Nardi L.,31,75,-44.0,1
Fearnley J.,Moro Canas A.,277,188,89.0,1
Daniel T.,Tsitsipas S.,84,11,73.0,0
Gaston H.,Muller A.,71,102,-31.0,0
Ofner S.,Vukic A.,45,69,-24.0,0
Bergs Z.,Cazaux A.,82,98,-16.0,0
Harris L.,Michelsen A.,118,55,63.0,1
Bublik A.,Mensik J.,23,78,-55.0,1
Humbert U.,Shevchenko A.,16,57,-41.0,1
Altmaier D.,Fery A.,80,247,-167.0,1
Arnaldi M.,Tiafoe F.,35,29,6.0,0
Kotov P.,Thompson J.,53,40,13.0,0
Marozsan F.,Struff J.L.,43,41,2.0,0
Broady L.,Van De Zandschulp B.,156,97,59.0,0
Kecmanovic M.,Nagal S.,52,73,-21.0,1
Berrettini M.,Fucsovics M.,59,70,-11.0,1
Martinez P.,Paul T.,49,13,36.0,0
Hanfmann Y.,Sinner J.,110,1,109.0,0
Mannarino A.,Monfils G.,24,33,-9.0,0
Purcell M.,Virtanen O.,68,147,-79.0,0
Bautista Agut R.,Marterer M.,112,85,27.0,1
Kovacevic A.,Medvedev D.,88,5,83.0,0
Baez S.,Nakashima B.,18,65,-47.0,0
Galan D.E.,Griekspoor T.,103,27,76.0,0
Garin C.,Shang J.,106,91,15.0,0
Bolt A.,Ruud C.,234,8,226.0,0
Janvier M.,Zhang Zh.,225,38,187.0,0
Fognini F.,Van Assche L.,94,104,-10.0,1
Dimitrov G.,Lajovic D.,10,56,-46.0,1
Navone M.,Sonego L.,32,54,-22.0,0
Broom C.,Wawrinka S.,248,95,153.0,0
Jarry N.,Shapovalov D.,20,121,-101.0,0
Alcaraz C.,Lajal M.,3,269,-266.0,1
Coric B.,Meligeni Alves F.,89,145,-56.0,1
