PlayerA,PlayerB,RankA,RankB,WinnerBinary,MaxOddsPlayerA,MaxOddsPlayerB,AvgOddsPlayerA,AvgOddsPlayerB,H2H_A_wins,H2H_B_wins,H2H_Diff
Alcaraz C.,Djokovic N.,3,2,1,1.82,2.2,1.76,2.09,3,4,-1
Djokovic N.,Musetti L.,2,25,1,1.15,6.75,1.12,6.3,7,1,6
Alcaraz C.,Medvedev D.,3,5,1,1.31,3.9,1.29,3.62,6,2,4
Fritz T.,Musetti L.,12,25,0,1.25,4.7,1.22,4.36,1,2,-1
De Minaur A.,Djokovic N.,9,2,0,4.0,1.34,3.76,1.28,0,3,-3
Medvedev D.,Sinner J.,5,1,1,4.78,1.25,4.29,1.22,7,8,-1
Alcaraz C.,Paul T.,3,13,1,1.31,4.01,1.27,3.79,4,2,2
Mpetshi G.,Musetti L.,58,25,0,2.03,1.95,1.92,1.88,0,2,-2
De Minaur A.,Fils A.,9,34,1,1.26,5.63,1.19,4.71,1,1,0
Djokovic N.,Rune H.,2,15,1,1.36,3.66,1.32,3.43,4,2,2
Fritz T.,Zverev A.,12,4,1,2.55,1.68,2.33,1.6,6,4,2
Alcaraz C.,Humbert U.,3,16,1,1.13,7.64,1.11,6.64,1,1,0
Dimitrov G.,Medvedev D.,10,5,0,2.31,1.74,2.2,1.68,3,8,-5
Shelton B.,Sinner J.,14,1,0,14.98,1.07,10.64,1.05,1,5,-4
Bautista Agut R.,Paul T.,112,13,0,6.27,1.18,5.71,1.14,3,4,-1
Fils A.,Safiullin R.,34,44,1,1.85,2.21,1.77,2.06,2,0,2
Shapovalov D.,Shelton B.,121,14,0,2.1,1.95,1.92,1.88,0,3,-3
Bautista Agut R.,Fognini F.,112,94,1,1.49,3.05,1.43,2.83,2,3,-1
Halys Q.,Rune H.,220,15,0,3.75,1.33,3.56,1.3,0,2,-2
Mpetshi G.,Ruusuvuori E.,58,87,1,1.83,2.15,1.76,2.07,2,0,2
Comesana F.,Musetti L.,122,25,0,5.8,1.18,5.27,1.16,0,1,-1
Humbert U.,Nakashima B.,16,65,1,1.78,2.17,1.74,2.11,3,0,3
Medvedev D.,Struff J.L.,5,41,1,1.54,2.79,1.49,2.63,7,1,6
Djokovic N.,Popyrin A.,2,47,1,1.17,7.14,1.13,6.19,3,1,2
De Minaur A.,Pouille L.,9,212,1,1.06,14.27,1.05,10.95,1,0,1
Fritz T.,Tabilo A.,12,19,1,1.21,5.47,1.18,4.99,4,0,4
Norrie C.,Zverev A.,42,4,0,6.75,1.14,6.19,1.13,0,5,-5
Alcaraz C.,Tiafoe F.,3,29,1,1.07,14.26,1.05,10.3,2,1,1
Dimitrov G.,Monfils G.,10,33,1,1.33,4.01,1.3,3.59,3,4,-1
Kecmanovic M.,Sinner J.,52,1,0,21.6,1.04,14.37,1.02,0,3,-3
Bublik A.,Paul T.,23,13,0,2.79,1.51,2.68,1.49,0,3,-3
Monfils G.,Wawrinka S.,33,95,1,1.4,3.22,1.36,3.11,4,3,1
Harris L.,Shelton B.,118,14,0,2.23,1.75,2.16,1.7,0,1,-1
Comesana F.,Walton A.,122,101,1,2.93,1.5,2.7,1.46,1,0,1
Halys Q.,Khachanov K.,220,22,1,2.8,1.56,2.6,1.5,1,0,1
Cobolli F.,Tabilo A.,48,19,0,3.6,1.36,3.31,1.33,1,1,0
Etcheverry T.,Popyrin A.,31,47,0,2.31,1.7,2.22,1.66,0,1,-1
Altmaier D.,Shapovalov D.,80,121,0,6.36,1.16,5.83,1.14,0,1,-1
Dimitrov G.,Shang J.,10,91,1,1.16,6.52,1.14,5.84,1,0,1
Darderi L.,Musetti L.,37,25,0,4.44,1.26,4.1,1.24,0,1,-1
Rune H.,Seyboth Wild T.,15,74,1,1.14,7.4,1.12,6.51,1,0,1
Fritz T.,Rinderknech A.,12,76,1,1.1,10.74,1.07,8.76,3,0,3
Machac T.,Safiullin R.,39,44,0,2.29,1.74,2.18,1.69,0,2,-2
Ruusuvuori E.,Tsitsipas S.,87,11,1,4.58,1.26,4.2,1.23,1,2,-1
Fils A.,Hurkacz H.,34,7,1,4.78,1.29,3.93,1.26,1,0,1
Djokovic N.,Fearnley J.,2,277,1,1.03,31.64,1.02,16.83,1,0,1
Kokkinakis T.,Pouille L.,93,212,0,1.54,2.75,1.49,2.63,1,1,0
